	accu_reward	accu_v_measure_sensor_distance	action_index	episode_index	object_in_range	observations:	reward	v_measure_calc_distance	v_measure_sensor_distance
152	1.848225738602577	1.6	0.0	113.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.848225738602577	3.0	1.6
153	1.3313227966667904	1.6	0.0	114.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.3313227966667904	3.0	1.6
154	1.6422038158811718	1.6	0.0	115.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.6422038158811718	3.0	1.6
155	1.8887300800138485	1.6	0.0	116.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.8887300800138485	3.0	1.6
156	2.102334365912496	1.6	0.0	117.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.102334365912496	3.0	1.6
157	1.6100409547235248	1.6	0.0	118.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.6100409547235248	3.0	1.6
158	1.0659368110030734	1.6	0.0	119.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.0659368110030734	3.0	1.6
159	1.6284436486049527	1.6	0.0	120.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.6284436486049527	3.0	1.6
160	2.0269160294970936	1.6	0.0	121.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.0269160294970936	3.0	1.6
161	1.9153837855341682	1.6	0.0	122.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.9153837855341682	3.0	1.6
162	1.2981313912019887	1.6	0.0	123.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.2981313912019887	3.0	1.6
163	1.5038390847333483	1.6	0.0	124.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.5038390847333483	3.0	1.6
164	1.8194249223030259	1.6	0.0	125.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.8194249223030259	3.0	1.6
165	1.6714468074296285	1.6	0.0	126.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.6714468074296285	3.0	1.6
166	1.9777453552819004	1.6	0.0	127.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.9777453552819004	3.0	1.6
167	1.220070275516856	1.6	0.0	128.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.220070275516856	3.0	1.6
168	0.9003478709899201	1.6	0.0	129.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.9003478709899201	3.0	1.6
169	1.9783552579490373	1.228351634445085	0.0	130.0	1.0	[0.15, 0.15, 0.15, 0.15]	1.9783552579490373	3.0	1.228351634445085
170	1.4337453105186833	1.4403286640091135	0.0	131.0	1.0	[0.15, 0.15, 0.15, 0.15]	1.4337453105186833	3.0	1.4403286640091135
171	2.120020329410154	1.3067668447274499	0.0	132.0	1.0	[0.15, 0.15, 0.15, 0.12087137253275732]	2.120020329410154	3.0	1.3067668447274499
172	1.7018404023852156	1.460190194567308	0.0	133.0	1.0	[0.15, 0.15, 0.15, 0.1398098054326922]	1.7018404023852156	3.0	1.460190194567308
173	1.2247796656028993	1.4843379561227845	0.0	134.0	1.0	[0.15, 0.15, 0.15, 0.11566204387721557]	1.2247796656028993	3.0	1.4843379561227845
174	-0.018724388770752862	1.4880948809394527	1.0	135.0	1.0	[0.15, 0.15, 0.15, 0.11190511906054736]	-0.018724388770752862	0.0	1.4880948809394527
175	0.13468315439711706	1.6	1.0	136.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.13468315439711706	0.0	1.6
176	1.6812271629708921	1.4119413823047002	0.0	137.0	1.0	[0.15, 0.15, 0.15, 0.15]	1.6812271629708921	3.0	1.4119413823047002
177	1.3924048427557005	1.4382789602861354	0.0	138.0	1.0	[0.15, 0.15, 0.15, 0.15]	1.3924048427557005	3.0	1.4382789602861354
178	1.9851121356970447	1.3299635412067925	0.0	139.0	1.0	[0.15, 0.15, 0.120620661165937, 0.15]	1.9851121356970447	3.0	1.3299635412067925
179	0.08102970260141373	1.3194065159689616	1.0	140.0	1.0	[0.15, 0.15, 0.14017749553373002, 0.15]	0.08102970260141373	0.0	1.3194065159689616
180	1.1431172521035147	1.1806690064903314	0.0	141.0	1.0	[0.15, 0.15, 0.10364241064615604, 0.12494447761304288]	1.1431172521035147	3.0	1.1806690064903314
181	-0.19359280120506941	1.164556247989079	1.0	142.0	1.0	[0.15, 0.15, 0.15, 0.0838583469248191]	-0.19359280120506941	0.0	1.164556247989079
182	-0.19455805458215072	1.2163561378114494	1.0	143.0	1.0	[0.12961779404626247, 0.15, 0.15, 0.08861241114964774]	-0.19455805458215072	0.0	1.2163561378114494
183	-0.2861116811282609	1.2283655639300841	1.0	144.0	1.0	[0.06991689846971796, 0.15, 0.15, 0.10387391638552379]	-0.2861116811282609	0.0	1.2283655639300841
184	1.1632547867360583	1.2557436175120187	0.0	145.0	1.0	[0.10132393887943979, 0.15, 0.15, 0.08175663902024737]	1.1632547867360583	3.0	1.2557436175120187
185	-0.21206250513337904	1.410870652004298	1.0	146.0	1.0	[0.07048303408502282, 0.15, 0.15, 0.11864631391067927]	-0.21206250513337904	0.0	1.410870652004298
186	1.5456748268441525	1.489207225763477	0.0	147.0	1.0	[0.11079277423652319, 0.15, 0.15, 0.15]	1.5456748268441525	3.0	1.489207225763477
187	2.3170949667066356	1.4354103538745866	0.0	148.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.3170949667066356	3.0	1.4354103538745866
